"build_time_min","deploy_time_min","commit_size_loc","num_bugs","test_coverage_pct","ticket_resolution_h","team","module","priority","deploy_status"
17.84,6.73,203,1,83.66,45.19,"Beta","api","alta","success"
7.81,7.96,198,6,57.41,13.79,"Delta","ui","media","success"
10.48,2.67,223,2,70.35,26.64,"Delta","auth","media","success"
5.85,8.96,256,2,62.82,24.87,"Gamma","notifications","crítica","success"
9.76,2.79,196,1,69.94,5.79,"Delta","ui","alta","success"
7.45,2.45,241,0,73.88,5.25,"Alpha","api","baja","rolled_back"
22.24,3.9,231,0,82.15,9.02,"Alpha","api","baja","success"
9.96,5.87,240,1,83.13,7.76,"Beta","auth","media","success"
5.91,5.07,219,2,80.31,42.48,"Gamma","auth","alta","success"
4.96,11.52,224,2,NA,49.76,"Gamma","notifications","baja","success"
17.48,15.9,240,2,83.42,10.41,"Gamma","api","alta","success"
15.42,14.04,210,1,63.15,64.43,"Delta","api","media","success"
14.86,1.42,232,0,82.9,30.84,"Alpha","api","media","success"
12.65,1.68,225,1,64.25,2.39,"Gamma","database","baja","success"
15.35,5.18,200,0,51.3,27.24,"Gamma","ui","crítica","success"
6.85,4.97,204,1,82.96,27.82,"Beta","auth","crítica","success"
8.87,1.34,210,2,60.1,5.02,"Delta","ui","media","success"
21.64,NA,204,0,91.15,18.78,"Alpha","ui","crítica","failed"
20.17,8.35,228,2,49.06,41.33,"Gamma","payments","baja","success"
12.01,5.87,246,2,75.38,1.65,"Delta","api","crítica","success"
11.72,7.07,221,1,77.63,0.79,"Delta","database","alta","success"
8.5,4.71,232,0,78.08,24.16,"Alpha","api","media","success"
3.95,2.75,225,1,82.24,14.2,"Alpha","auth","media","success"
6.37,5.62,215,1,58.92,32.57,"Alpha","notifications","media","success"
12.51,NA,226,5,73.07,12.57,"Alpha","auth","baja","failed"
13.86,6.64,227,1,76.86,16.37,"Beta","payments","baja","success"
15.76,5.44,243,2,82.7,25.09,"Delta","api","media","success"
7.63,NA,241,1,72.51,NA,"Gamma","database","baja","failed"
7.27,2.51,204,NA,75.78,26.74,"Beta","api","media","rolled_back"
6.97,12.51,205,1,52.12,7.43,"Beta","ui","baja","success"
13.18,NA,208,0,88.11,37.76,"Alpha","database","alta","failed"
8.83,10.93,238,2,86.1,20.38,"Alpha","api","crítica","success"
11.24,9.3,198,1,89.88,53.88,"Beta","notifications","baja","success"
8.64,3.97,222,2,94.71,5.8,"Beta","auth","baja","success"
11.02,3.28,217,2,64.15,24.99,"Delta","api","baja","success"
5.1,3.89,184,0,79.49,5.66,"Delta","api","alta","success"
12.39,4.77,240,1,86.7,37.26,"Beta","notifications","baja","success"
6.87,7.21,205,4,87.56,25.69,"Delta","auth","alta","success"
13.42,4.13,229,1,39.09,18.7,"Beta","api","media","success"
10.43,5.67,226,2,87.51,9.4,"Gamma","auth","media","success"
11.73,1.96,226,1,83.9,22.66,"Gamma","api","media","rolled_back"
6.98,6.33,232,2,93.27,0.69,"Delta","notifications","alta","success"
19.17,NA,239,2,78.77,NA,"Alpha","api","crítica","failed"
13.52,3.43,230,0,83.33,14.07,"Gamma","database","crítica","success"
10.67,5.21,220,1,87.54,26.96,"Gamma","database","baja","success"
11.59,5.82,206,1,40.4,14.9,"Delta","api","media","success"
13.72,13.51,234,0,87.45,24.92,"Gamma","ui","media","success"
10.68,3.98,239,3,67,11.45,"Alpha","notifications","media","success"
15.02,NA,204,1,94.34,16.7,"Delta","ui","baja","failed"
9.23,1.82,223,3,84.58,6.69,"Beta","auth","media","success"
13.18,2.9,229,1,69.19,22.1,"Alpha","payments","baja","success"
18.02,5.99,227,1,91.5,8.35,"Gamma","payments","baja","success"
7.18,2.77,233,3,51.64,83.11,"Alpha","api","alta","success"
11.52,3.65,230,1,85.63,49.9,"Delta","database","crítica","success"
18.89,6.41,245,0,80.27,18.31,"Delta","api","baja","success"
11.22,4.37,248,0,67.63,61.83,"Gamma","api","media","success"
